topic,argument,key_point,stance,label
Assisted suicide should be a criminal offence,a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,Assisted suicide should not be allowed because many times people can still get better,1,1
Assisted suicide should be a criminal offence,"A patient should be able to decide when they have had enough ""care"".",People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,"a person has the right to end their suffering and if somebody takes pity on them and chooses to help, that person should not be punished.",Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,a person should have the dignity to choose how they die,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,a person should have the right to be able to choose if they want to live or die,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,a person should have the right to die on their own terms,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,"a person should not be forced into having to live their lives suffering, when death is already enevitable",Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,Allowing assisted suicide would enable greedy relatives to take advantage of ill relatives for their own financial gain,Assisted suicide allows people to solicit someone to die to their own benefit,1,1
Assisted suicide should be a criminal offence,an assisted suicide is just another way to murder a person. it does not matter if the person asked to be killed the person who does the killing has put one to death.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,"and who defines reasonable certainty, how many people evicted by medicine has regained health thanks to an alternative treatment or a medical advance, ending life is not the solution, much less involving others",Assisted suicide should not be allowed because many times people can still get better,1,1
Assisted suicide should be a criminal offence,anyone who contributes to ending a life should be punished,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,asisted suicide can be abused by those who want to benefit from taking advantage of a sick or ill relative and thus should not be allowed.,Assisted suicide allows people to solicit someone to die to their own benefit,1,1
Assisted suicide should be a criminal offence,assisted suicide allows for a person who is sick and fully understanding what is done to end their pain when no quality of life can be assured,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide allows for a person who is sick and fully understanding what is done to end their pain when no quality of life can be assured,The terminally ill would benefit from assisted suicide,-1,1
Assisted suicide should be a criminal offence,assisted suicide allows one to end terminal pain and suffering and should be allowed to continue.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide allows one to end terminal pain and suffering and should be allowed to continue.,The terminally ill would benefit from assisted suicide,-1,1
Assisted suicide should be a criminal offence,assisted suicide allows people who have terrible health conditions to die with dignity. if assisted suicide is a crime they may have to endure many more years living in agony.,Assisted suicide gives dignity to the person that wants to commit it,-1,1
Assisted suicide should be a criminal offence,assisted suicide allows people who have terrible health conditions to die with dignity. if assisted suicide is a crime they may have to endure many more years living in agony.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide allows terminally ill people to die with dignity and should not be criminalized,Assisted suicide gives dignity to the person that wants to commit it,-1,1
Assisted suicide should be a criminal offence,assisted suicide allows terminally ill persons to choose when to die and do it with dignity. it lets people decide not to live in a state of pain and misery and choose to pass on with human intervention.,Assisted suicide gives dignity to the person that wants to commit it,-1,1
Assisted suicide should be a criminal offence,assisted suicide allows terminally ill persons to choose when to die and do it with dignity. it lets people decide not to live in a state of pain and misery and choose to pass on with human intervention.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,Assisted suicide and the right to live with dignity is a human right and should be made legal everywhere. It is a human right to choose not to suffer with a terminal illness.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide could be misused by people who want their weaker partner to die. people could be encouraged to take their own life before they really want to.,Assisted suicide allows people to solicit someone to die to their own benefit,1,1
Assisted suicide should be a criminal offence,assisted suicide gives people control over their life in terrible circumstances. it allows them dignity in death rather than living in terrible conditions for many years.,Assisted suicide gives dignity to the person that wants to commit it,-1,1
