topic,stance,argument,matched_kp(group),confidence_score(group),matched_kp(1by1),confidence_score(1by1)
Assisted suicide should be a criminal offence,1,a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.8
Assisted suicide should be a criminal offence,1,allow assisted suicide could allow unscrupulous people to become serial killers,assisted suicide is murder and should be illegal,0.9,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.8
Assisted suicide should be a criminal offence,1,Allowing assisted suicide would enable greedy relatives to take advantage of ill relatives for their own financial gain,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.8,Criminalizing assisted suicide is essential to safeguard vulnerable individuals from being exploited for financial gain by greedy relatives.,0.9
Assisted suicide should be a criminal offence,1,an assisted suicide is just another way to murder a person. it does not matter if the person asked to be killed the person who does the killing has put one to death.,assisted suicide is just another form of murder,1.0,Assisted suicide constitutes murder and necessitates criminal punishment.,0.9
Assisted suicide should be a criminal offence,1,"and who defines reasonable certainty, how many people evicted by medicine has regained health thanks to an alternative treatment or a medical advance, ending life is not the solution, much less involving others",assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.8
Assisted suicide should be a criminal offence,1,anyone who contributes to ending a life should be punished,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,asisted suicide can be abused by those who want to benefit from taking advantage of a sick or ill relative and thus should not be allowed.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Criminalizing assisted suicide is essential to safeguard vulnerable individuals from being exploited for financial gain by greedy relatives.,0.9
Assisted suicide should be a criminal offence,1,assisted suicide could be misused by people who want their weaker partner to die. people could be encouraged to take their own life before they really want to.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Criminalizing assisted suicide is essential to safeguard vulnerable individuals from being exploited for financial gain by greedy relatives.,0.8
Assisted suicide should be a criminal offence,1,assisted suicide goes directly against the oath taken by doctors to do no harm. suicide is harm. there is no oversight when giving the patients the drugs. they are prescribed and the patient faces death alone.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Assisted suicide is equated with murder.,0.8
Assisted suicide should be a criminal offence,1,assisted suicide involves murdering someone which is illegal and should be treated as such.,assisted suicide is murder and should be illegal,1.0,Assisted suicide constitutes murder and necessitates criminal punishment.,1.0
